Step,AgentID,Wealth
3,18,0
3,19,1
3,20,2
3,21,2
3,22,1
3,23,2
3,24,0
3,25,3
3,26,0
3,27,1
3,28,3
3,29,0
3,30,0
3,31,1
3,32,1
3,33,1
3,34,1
3,35,0
3,36,1
3,37,1
3,38,2
3,39,2
3,40,1
3,41,1
3,42,1
3,43,2
3,44,1
3,45,1
3,46,0
3,47,3
3,48,1
3,49,0
4,0,0
4,1,1
4,2,0
4,3,1
4,4,2
4,5,0
4,6,0
4,7,1
4,8,1
4,9,2
4,10,0
4,11,0
4,12,0
4,13,2
4,14,1
4,15,0
4,16,2
4,17,0
4,18,0
4,19,1
4,20,2
4,21,1
4,22,1
4,23,3
4,24,0
4,25,3
4,26,0
4,27,1
4,28,3
4,29,0
4,30,0
4,31,1
4,32,2
4,33,1
4,34,2
4,35,0
4,36,1
4,37,2
4,38,1
4,39,3
4,40,0
4,41,0
4,42,1
4,43,2
4,44,1
4,45,1
4,46,0
4,47,3
4,48,1
4,49,0
5,0,0
5,1,1
5,2,0
5,3,1
5,4,2
5,5,0
5,6,0
5,7,1
5,8,1
5,9,3
5,10,0
5,11,0
5,12,0
5,13,2
5,14,1
5,15,0
5,16,2
5,17,0
5,18,0
5,19,1
5,20,2
5,21,0
5,22,2
5,23,3
5,24,0
5,25,4
5,26,0
5,27,1
5,28,3
5,29,1
5,30,0
5,31,1
5,32,2
5,33,1
5,34,1
5,35,0
5,36,0
5,37,2
5,38,1
5,39,3
5,40,1
5,41,0
5,42,0
5,43,1
5,44,2
5,45,1
5,46,0
5,47,2
5,48,1
5,49,0
6,0,0
6,1,1
6,2,0
6,3,1
6,4,2
6,5,0
6,6,0
6,7,1
6,8,1
6,9,3
6,10,0
6,11,0
6,12,0
6,13,2
6,14,1
6,15,0
6,16,1
6,17,0
6,18,0
6,19,1
6,20,2
6,21,0
6,22,2
6,23,3
6,24,0
6,25,4
6,26,0
6,27,1
6,28,3
6,29,1
6,30,0
6,31,1
6,32,2
6,33,1
6,34,1
6,35,0
6,36,0
6,37,2
6,38,1
6,39,3
6,40,2
6,41,0
6,42,0
6,43,1
6,44,2
6,45,1
6,46,0
6,47,2
6,48,1
6,49,0
7,0,0
7,1,2
7,2,0
7,3,0
7,4,2
7,5,0
7,6,0
7,7,1
7,8,1
7,9,4
7,10,0
7,11,1
7,12,0
7,13,1
7,14,1
7,15,0
7,16,0
7,17,0
7,18,0
7,19,0
7,20,2
7,21,1
7,22,2
7,23,2
7,24,0
7,25,4
7,26,0
7,27,1
7,28,4
7,29,1
7,30,1
7,31,1
7,32,1
7,33,2
7,34,1
7,35,0
7,36,0
7,37,2
7,38,1
7,39,3
7,40,2
7,41,0
7,42,0
7,43,1
7,44,2
7,45,1
7,46,0
7,47,1
7,48,1
7,49,0
8,0,0
8,1,3
8,2,0
8,3,0
8,4,2
8,5,0
8,6,0
8,7,0
8,8,1
8,9,4
8,10,0
8,11,0
8,12,0
8,13,1
8,14,0
8,15,0
8,16,0
8,17,1
8,18,0
8,19,0
8,20,1
8,21,1
8,22,2
8,23,2
8,24,0
8,25,3
8,26,0
8,27,1
8,28,5
8,29,1
8,30,1
8,31,1
8,32,1
8,33,1
8,34,3
8,35,0
8,36,0
8,37,2
8,38,2
8,39,4
8,40,2
8,41,0
8,42,0
8,43,1
8,44,2
8,45,1
8,46,0
8,47,1
8,48,0
8,49,0
9,0,0
9,1,3
9,2,0
9,3,0
9,4,2
9,5,0
9,6,0
9,7,0
9,8,1
9,9,4
9,10,0
9,11,0
9,12,0
9,13,1
9,14,0
9,15,0
9,16,0
9,17,1
9,18,0
9,19,0
9,20,1
9,21,1
9,22,2
9,23,3
9,24,0
9,25,3
9,26,0
9,27,1
9,28,4
9,29,1
9,30,1
9,31,1
9,32,2
9,33,1
9,34,3
9,35,0
9,36,0
9,37,2
9,38,2
9,39,4
9,40,2
9,41,0
9,42,0
9,43,0
9,44,2
9,45,0
9,46,0
9,47,2
9,48,0
9,49,0
10,0,0
10,1,3
10,2,0
10,3,0
10,4,3
10,5,0
10,6,0
10,7,0
10,8,1
10,9,4
10,10,0
10,11,0
10,12,0
10,13,0
10,14,0
10,15,0
10,16,0
10,17,1
10,18,1
10,19,0
10,20,1
10,21,1
10,22,2
10,23,2
10,24,0
10,25,3
10,26,0
10,27,1
10,28,3
10,29,2
10,30,1
10,31,1
10,32,2
10,33,1
10,34,3
10,35,0
10,36,0
10,37,2
10,38,2
10,39,3
10,40,2
10,41,0
10,42,0
10,43,1
10,44,2
10,45,0
10,46,0
10,47,2
10,48,0
10,49,0
11,0,0
11,1,3
11,2,0
11,3,0
11,4,3
11,5,0
11,6,0
11,7,0
11,8,1
11,9,4
11,10,0
11,11,0
11,12,0
11,13,0
11,14,0
11,15,0
11,16,0
11,17,0
11,18,1
11,19,0
11,20,1
11,21,2
11,22,2
11,23,2
11,24,1
11,25,3
11,26,2
11,27,1
11,28,2
11,29,1
11,30,1
11,31,0
11,32,2
11,33,1
11,34,3
11,35,0
11,36,0
11,37,2
11,38,3
11,39,3
11,40,2
11,41,0
11,42,0
11,43,0
11,44,2
11,45,0
11,46,0
11,47,2
11,48,0
11,49,0
12,0,0
12,1,3
12,2,0
12,3,0
12,4,3
12,5,0
12,6,0
12,7,0
12,8,1
12,9,4
12,10,0
12,11,0
12,12,0
12,13,0
12,14,0
12,15,0
12,16,0
12,17,1
12,18,1
12,19,0
12,20,1
12,21,1
12,22,2
12,23,1
12,24,0
12,25,3
12,26,2
12,27,1
12,28,2
12,29,1
12,30,1
12,31,0
12,32,2
12,33,2
12,34,3
12,35,0
12,36,0
12,37,2
12,38,3
12,39,3
12,40,2
12,41,1
12,42,0
12,43,0
12,44,1
12,45,0
12,46,0
12,47,2
12,48,0
12,49,1
13,0,0
13,1,3
13,2,0
13,3,1
13,4,3
13,5,0
13,6,0
13,7,1
13,8,1
13,9,4
13,10,0
13,11,0
13,12,0
13,13,0
13,14,0
13,15,0
13,16,0
13,17,0
13,18,1
13,19,0
13,20,1
13,21,1
13,22,2
13,23,1
13,24,0
13,25,3
13,26,2
13,27,1
13,28,2
13,29,1
13,30,1
13,31,0
13,32,1
13,33,2
13,34,3
13,35,0
13,36,0
13,37,2
13,38,3
13,39,3
13,40,2
13,41,1
13,42,0
13,43,0
13,44,1
13,45,0
13,46,0
13,47,2
13,48,0
13,49,1
14,0,1
14,1,2
14,2,0
14,3,1
14,4,3
14,5,0
14,6,0
14,7,1
14,8,1
14,9,4
14,10,0
14,11,0
14,12,0
14,13,0
14,14,0
14,15,0
14,16,0
14,17,0
14,18,1
14,19,0
14,20,1
14,21,1
14,22,2
14,23,1
14,24,1
14,25,3
14,26,2
14,27,2
14,28,2
14,29,2
14,30,1
14,31,0
14,32,0
14,33,2
14,34,2
14,35,0
14,36,0
14,37,2
14,38,3
14,39,3
14,40,2
14,41,1
14,42,0
14,43,0
14,44,0
14,45,0
14,46,0
14,47,2
14,48,0
14,49,1
15,0,2
15,1,2
15,2,1
15,3,1
15,4,4
15,5,0
15,6,0
15,7,0
15,8,1
15,9,4
15,10,0
15,11,0
15,12,0
15,13,0
15,14,0
15,15,0
15,16,0
15,17,0
15,18,1
15,19,0
15,20,1
15,21,2
15,22,3
15,23,1
15,24,1
15,25,3
15,26,2
15,27,2
15,28,2
15,29,2
15,30,0
15,31,0
15,32,0
15,33,1
15,34,2
15,35,0
15,36,0
15,37,2
15,38,3
15,39,2
15,40,2
15,41,0
15,42,0
15,43,0
15,44,0
15,45,0
15,46,0
15,47,1
15,48,0
15,49,2
16,0,2
16,1,2
16,2,1
16,3,1
16,4,4
16,5,0
16,6,0
16,7,0
16,8,1
16,9,3
16,10,0
16,11,0
16,12,0
16,13,0
16,14,0
16,15,0
16,16,2
16,17,0
16,18,1
16,19,0
16,20,1
16,21,2
16,22,4
16,23,1
16,24,1
16,25,2
16,26,1
16,27,2
16,28,1
16,29,2
16,30,0
16,31,0
16,32,0
16,33,1
16,34,2
16,35,0
16,36,1
16,37,2
16,38,3
16,39,2
16,40,3
16,41,0
16,42,0
16,43,0
16,44,0
16,45,0
16,46,0
16,47,1
16,48,0
16,49,1
17,0,2
17,1,1
17,2,1
17,3,2
17,4,5
17,5,0
17,6,0
17,7,0
17,8,1
17,9,4
17,10,0
17,11,0
17,12,0
17,13,0
17,14,0
17,15,0
17,16,1
17,17,0
17,18,1
17,19,0
17,20,1
17,21,2
17,22,4
17,23,1
17,24,1
17,25,3
17,26,1
17,27,2
17,28,0
17,29,2
17,30,0
17,31,0
17,32,0
17,33,1
17,34,3
17,35,0
17,36,0
17,37,2
17,38,2
17,39,2
17,40,2
17,41,0
17,42,0
17,43,1
17,44,0
17,45,0
17,46,0
17,47,0
17,48,0
17,49,2
18,0,2
18,1,1
18,2,1
18,3,2
18,4,4
18,5,0
18,6,0
18,7,0
18,8,1
18,9,4
18,10,1
18,11,0
18,12,0
18,13,0
18,14,0
18,15,0
18,16,1
18,17,0
18,18,0
18,19,0
18,20,0
18,21,3
18,22,4
18,23,0
18,24,1
18,25,3
18,26,2
18,27,2
18,28,1
18,29,2
18,30,0
18,31,0
18,32,0
18,33,1
18,34,4
18,35,0
18,36,0
18,37,1
18,38,2
18,39,2
18,40,2
18,41,0
18,42,1
18,43,1
18,44,0
18,45,0
18,46,0
18,47,0
18,48,0
18,49,1
19,0,2
19,1,1
19,2,1
19,3,2
19,4,4
19,5,0
19,6,0
19,7,0
19,8,1
19,9,4
19,10,0
19,11,0
19,12,0
19,13,0
19,14,0
19,15,0
19,16,1
19,17,0
19,18,0
19,19,0
19,20,0
19,21,3
19,22,3
19,23,1
19,24,1
19,25,3
19,26,2
19,27,2
19,28,1
19,29,2
19,30,0
19,31,0
19,32,1
19,33,0
19,34,4
19,35,0
19,36,0
19,37,1
19,38,2
19,39,2
19,40,3
19,41,0
19,42,1
19,43,1
19,44,0
19,45,0
19,46,0
19,47,0
19,48,0
19,49,1
